filename,species,confidence,confidence_calibrated,timestamp,burst_group_id,independent_event_id,camera_id,review_required,antler_classification,temporal_prior,softmax_entropy
CAM-T01_20250304_220701_00.jpg,armadillo,0.905,0.8689,2025-03-04T22:07:01,BG-CAM-T01-20250304220701,IE-CAM-T01-armadillo-002513,CAM-T01,False,,0.8673,0.4218
CAM-T01_20250304_220746_01.jpg,armadillo,0.9041,0.8678,2025-03-04T22:07:46,BG-CAM-T01-20250304220701,IE-CAM-T01-armadillo-002513,CAM-T01,False,,0.8673,0.4236
CAM-P01_20250305_225016_00.jpg,armadillo,0.8134,0.7627,2025-03-05T22:50:16,BG-CAM-P01-20250305225016,IE-CAM-P01-armadillo-001213,CAM-P01,False,,0.9319,0.5571
CAM-P01_20250305_225033_01.jpg,armadillo,0.9615,0.9418,2025-03-05T22:50:33,BG-CAM-P01-20250305225016,IE-CAM-P01-armadillo-001213,CAM-P01,False,,0.9319,0.2487
CAM-P01_20250306_011409_00.jpg,armadillo,0.7921,0.7394,2025-03-06T01:14:09,BG-CAM-P01-20250306011409,IE-CAM-P01-armadillo-001214,CAM-P01,False,,0.9863,0.5753
CAM-P01_20250306_011427_01.jpg,armadillo,0.8282,0.7792,2025-03-06T01:14:27,BG-CAM-P01-20250306011409,IE-CAM-P01-armadillo-001214,CAM-P01,False,,0.9863,0.5299
CAM-O02_20250310_212402_00.jpg,armadillo,0.786,0.7328,2025-03-10T21:24:02,BG-CAM-O02-20250310212402,IE-CAM-O02-armadillo-001044,CAM-O02,True,,0.7896,0.6046
CAM-O02_20250310_212435_01.jpg,armadillo,0.8073,0.756,2025-03-10T21:24:35,BG-CAM-O02-20250310212402,IE-CAM-O02-armadillo-001044,CAM-O02,False,,0.7896,0.5836
CAM-T02_20250315_075604_00.jpg,armadillo,0.8908,0.8517,2025-03-15T07:56:04,BG-CAM-T02-20250315075604,IE-CAM-T02-armadillo-002737,CAM-T02,False,,0.3629,0.5817
CAM-T02_20250315_075617_02.jpg,armadillo,0.9244,0.8931,2025-03-15T07:56:17,BG-CAM-T02-20250315075604,IE-CAM-T02-armadillo-002737,CAM-T02,False,,0.3629,0.5427
CAM-T02_20250315_075622_03.jpg,armadillo,0.8934,0.8548,2025-03-15T07:56:22,BG-CAM-T02-20250315075604,IE-CAM-T02-armadillo-002737,CAM-T02,False,,0.3629,0.579
CAM-T02_20250315_075701_01.jpg,armadillo,0.9228,0.8911,2025-03-15T07:57:01,BG-CAM-T02-20250315075604,IE-CAM-T02-armadillo-002737,CAM-T02,False,,0.3619,0.5451
